metric,value
n_points,1201
max_abs_error_dB,1.2792611414624844e-10
rms_error_dB,1.018317591588132e-11
max_error_frequency_Hz,92257142.71548364
ltspice_gain_at_max_error_dB,-192.96708939436368
python_gain_at_max_error_dB,-192.96708939423576
ltspice_gain_100_Hz_dB,-0.10704230900650386
python_gain_100_Hz_dB,-0.10704230900652144
error_100_Hz_dB,-1.7583157152500917e-14
ltspice_gain_400_Hz_dB,-0.09152334478686472
python_gain_400_Hz_dB,-0.09152334478700895
error_400_Hz_dB,-1.4423184868661565e-13
ltspice_gain_1000_Hz_dB,-0.0034165262954215375
python_gain_1000_Hz_dB,-0.003416526295163961
error_1000_Hz_dB,2.5757651220259525e-13
ltspice_gain_10000_Hz_dB,4.828022832598571
python_gain_10000_Hz_dB,4.828022832603528
error_10000_Hz_dB,4.956923760346399e-12
ltspice_gain_100000_Hz_dB,-59.47518730143006
python_gain_100000_Hz_dB,-59.47518730143018
error_100000_Hz_dB,-1.2079226507921703e-13
ltspice_gain_1e+06_Hz_dB,-178.99991554569715
python_gain_1e+06_Hz_dB,-178.99991554569695
error_1e+06_Hz_dB,1.9895196601282805e-13
ltspice_gain_1e+07_Hz_dB,-240.8849295538181
python_gain_1e+07_Hz_dB,-240.88492955381895
error_1e+07_Hz_dB,-8.526512829121202e-13
ltspice_gain_1e+08_Hz_dB,-188.33731260854682
python_gain_1e+08_Hz_dB,-188.3373126085881
error_1e+08_Hz_dB,-4.126832209294662e-11
