frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_CM_real_A,I_CM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_CM_phase_deg
1.000000000000000000e+02,4.998926727151352112e-01,4.998926727151352112e-01,9.997853454302704224e-01,1.139775354206807094e+02,1.139775354206807094e+02,1.199981353339603345e+02,4.998926727151197791e-01,-1.243502863246381655e-07,4.998926727151197791e-01,-1.243502863246381655e-07,9.997853454302395582e-01,-2.487005726492763311e-07,-1.425255255082573913e-05,-1.425255255082573913e-05,-1.425255255082573913e-05
1.011579454259898228e+02,4.998927343818260205e-01,4.998927343818260205e-01,9.997854687636520410e-01,1.139775364921707705e+02,1.139775364921707705e+02,1.199981364054503956e+02,4.998927343818102553e-01,-1.257902275755205525e-07,4.998927343818102553e-01,-1.257902275755205525e-07,9.997854687636205107e-01,-2.515804551510411049e-07,-1.441759131182438092e-05,-1.441759131182438092e-05,-1.441759131182438092e-05
1.023292992280753566e+02,4.998927974849342593e-01,4.998927974849342593e-01,9.997855949698685185e-01,1.139775375886191853e+02,1.139775375886191853e+02,1.199981375018988103e+02,4.998927974849180500e-01,-1.272468437131628715e-07,4.998927974849180500e-01,-1.272468437131628715e-07,9.997855949698361000e-01,-2.544936874263257429e-07,-1.458454120124591541e-05,-1.458454120124591541e-05,-1.458454120124591541e-05
1.035142166679344058e+02,4.998928620579192184e-01,4.998928620579192184e-01,9.997857241158384367e-01,1.139775387106073197e+02,1.139775387106073197e+02,1.199981386238869447e+02,4.998928620579026760e-01,-1.287203278635747849e-07,4.998928620579026760e-01,-1.287203278635747849e-07,9.997857241158053521e-01,-2.574406557271495698e-07,-1.475342435129354264e-05,-1.475342435129354264e-05,-1.475342435129354264e-05
1.047128548050899610e+02,4.998929281350197318e-01,4.998929281350197318e-01,9.997858562700394636e-01,1.139775398587300685e+02,1.139775398587300685e+02,1.199981397720096936e+02,4.998929281350027454e-01,-1.302108753912086223e-07,4.998929281350027454e-01,-1.302108753912086223e-07,9.997858562700054907e-01,-2.604217507824172446e-07,-1.492426315061840852e-05,-1.492426315061840852e-05,-1.492426315061840852e-05
1.059253725177288601e+02,4.998929957512716071e-01,4.998929957512716071e-01,9.997859915025432143e-01,1.139775410335961823e+02,1.139775410335961823e+02,1.199981409468758073e+02,4.998929957512542877e-01,-1.317186839245532484e-07,4.998929957512542877e-01,-1.317186839245532484e-07,9.997859915025085753e-01,-2.634373678491064968e-07,-1.509708024724903941e-05,-1.509708024724903941e-05,-1.509708024724903941e-05
1.071519305237605977e+02,4.998930649425272765e-01,4.998930649425272765e-01,9.997861298850545531e-01,1.139775422358285937e+02,1.139775422358285937e+02,1.199981421491082187e+02,4.998930649425095130e-01,-1.332439533808796013e-07,4.998930649425095130e-01,-1.332439533808796013e-07,9.997861298850190259e-01,-2.664879067617592025e-07,-1.527189855142340190e-05,-1.527189855142340190e-05,-1.527189855142340190e-05
1.083926914021203913e+02,4.998931357454741709e-01,4.998931357454741709e-01,9.997862714909483417e-01,1.139775434660647875e+02,1.139775434660647875e+02,1.199981433793444126e+02,4.998931357454560742e-01,-1.347868859953076869e-07,4.998931357454560742e-01,-1.347868859953076869e-07,9.997862714909121484e-01,-2.695737719906153737e-07,-1.544874123891612784e-05,-1.544874123891612784e-05,-1.544874123891612784e-05
1.096478196143185073e+02,4.998932081976543151e-01,4.998932081976543151e-01,9.997864163953086303e-01,1.139775447249570419e+02,1.139775447249570419e+02,1.199981446382366670e+02,4.998932081976357744e-01,-1.363476863452227800e-07,4.998932081976357744e-01,-1.363476863452227800e-07,9.997864163952715488e-01,-2.726953726904455600e-07,-1.562763175383254400e-05,-1.562763175383254400e-05,-1.562763175383254400e-05
1.109174815262400813e+02,4.998932823374847567e-01,4.998932823374847567e-01,9.997865646749695134e-01,1.139775460131728693e+02,1.139775460131728693e+02,1.199981459264524943e+02,4.998932823374657719e-01,-1.379265613795098932e-07,4.998932823374657719e-01,-1.379265613795098932e-07,9.997865646749315438e-01,-2.758531227590197863e-07,-1.580859381195475884e-05,-1.580859381195475884e-05,-1.580859381195475884e-05
1.122018454301963004e+02,4.998933582042762169e-01,4.998933582042762169e-01,9.997867164085524339e-01,1.139775473313952716e+02,1.139775473313952716e+02,1.199981472446748967e+02,4.998933582042567880e-01,-1.395237204442651703e-07,4.998933582042567880e-01,-1.395237204442651703e-07,9.997867164085135760e-01,-2.790474408885303406e-07,-1.599165140368386871e-05,-1.599165140368386871e-05,-1.599165140368386871e-05
1.135010815672315516e+02,4.998934358382559062e-01,4.998934358382559062e-01,9.997868716765118124e-01,1.139775486803232241e+02,1.139775486803232241e+02,1.199981485936028491e+02,4.998934358382360332e-01,-1.411393753122030180e-07,4.998934358382360332e-01,-1.411393753122030180e-07,9.997868716764720665e-01,-2.822787506244060360e-07,-1.617682879740547724e-05,-1.617682879740547724e-05,-1.617682879740547724e-05
1.148153621496882835e+02,4.998935152805886739e-01,4.998935152805886739e-01,9.997870305611773478e-01,1.139775500606719874e+02,1.139775500606719874e+02,1.199981499739516124e+02,4.998935152805683568e-01,-1.427737402101441775e-07,4.998935152805683568e-01,-1.427737402101441775e-07,9.997870305611367137e-01,-2.855474804202883550e-07,-1.636415054263512850e-05,-1.636415054263512850e-05,-1.636415054263512850e-05
1.161448613840342574e+02,4.998935965733971032e-01,4.998935965733971032e-01,9.997871931467942064e-01,1.139775514731734063e+02,1.139775514731734063e+02,1.199981513864530314e+02,4.998935965733762310e-01,-1.444270318466514186e-07,4.998935965733762310e-01,-1.444270318466514186e-07,9.997871931467524620e-01,-2.888540636933028372e-07,-1.655364147318055205e-05,-1.655364147318055205e-05,-1.655364147318055205e-05
1.174897554939529130e+02,4.998936797597857695e-01,4.998936797597857695e-01,9.997873595195715390e-01,1.139775529185764782e+02,1.139775529185764782e+02,1.199981528318561033e+02,4.998936797597644532e-01,-1.460994694426682301e-07,4.998936797597644532e-01,-1.460994694426682301e-07,9.997873595195289065e-01,-2.921989388853364603e-07,-1.674532671064777619e-05,-1.674532671064777619e-05,-1.674532671064777619e-05
1.188502227437018917e+02,4.998937648838630010e-01,4.998937648838630010e-01,9.997875297677260020e-01,1.139775543976475234e+02,1.139775543976475234e+02,1.199981543109271485e+02,4.998937648838411296e-01,-1.477912747594165385e-07,4.998937648838411296e-01,-1.477912747594165385e-07,9.997875297676822592e-01,-2.955825495188330770e-07,-1.693923166763301245e-05,-1.693923166763301245e-05,-1.693923166763301245e-05
1.202264434617413116e+02,4.998938519907648037e-01,4.998938519907648037e-01,9.997877039815296074e-01,1.139775559111708390e+02,1.139775559111708390e+02,1.199981558244504640e+02,4.998938519907424882e-01,-1.495026721278168351e-07,4.998938519907424882e-01,-1.495026721278168351e-07,9.997877039814849764e-01,-2.990053442556336701e-07,-1.713538205108873060e-05,-1.713538205108873060e-05,-1.713538205108873060e-05
