frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_CM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_CM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_CM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_CM_dBuA,error_CM_PY_minus_LT_dB,error_HOT_PY_minus_LT_dB,error_RTN_PY_minus_LT_dB,LT_I_CM_phase_deg,PY_I_CM_phase_deg
100.0,0.49989267271509286,0.49989267271441074,0.9997853454295036,0.4998926727151352,0.4998926727151352,0.9997853454302704,113.97753542067996,113.9775354206681,119.99813533395366,113.97753542068071,113.97753542068071,119.99813533396033,6.679101716144942e-12,7.531752999057062e-13,1.2605028132384177e-11,-1.4252628311243998e-05,-1.4252552550825739e-05
101.15794542598987,0.49989273438088033,0.49989273438156245,0.9997854687624428,0.49989273438182596,0.49989273438182596,0.9997854687636519,113.97753649215433,113.9775364921662,119.9981364054399,113.97753649217077,113.97753649217077,119.9981364054504,1.050182163453428e-11,1.6441958905488718e-11,4.575895218295045e-12,-1.4418431208435568e-05,-1.4417591311826714e-05
102.32929922807543,0.4998927974850338,0.4998927974859433,0.9997855949709771,0.49989279748493426,0.49989279748493426,0.9997855949698685,113.97753758862093,113.97753758863672,119.99813750190845,113.97753758861919,113.97753758861919,119.99813750189881,-9.634959496906959e-12,-1.7479351299698465e-12,-1.7536194718559273e-11,-1.4585510996656305e-05,-1.458454120123674e-05
103.5142166679344,0.4998928620580211,0.4998928620580211,0.9997857241160422,0.4998928620579192,0.4998928620579192,0.9997857241158384,113.97753871060908,113.97753871060908,119.9981386238887,113.97753871060732,113.97753871060732,119.99813862388694,-1.7621459846850485e-12,-1.7621459846850485e-12,-1.7621459846850485e-12,-1.4754825403370427e-05,-1.4753424351293543e-05
104.71285480508999,0.4998929281364496,0.49989292813508523,0.9997858562715349,0.49989292813501973,0.49989292813501973,0.9997858562700395,113.97753985875491,113.9775398587312,119.99813977202268,113.97753985873007,113.97753985873007,119.9981397720097,-1.2988721209694631e-11,-2.4840574042173102e-11,-1.1368683772161603e-12,-1.4923097294017966e-05,-1.4924263150641472e-05
105.92537251772893,0.49989299575260615,0.49989299575192403,0.9997859915045302,0.49989299575127144,0.49989299575127144,0.9997859915025429,113.97754103361936,113.97754103360752,119.99814094689306,113.97754103359617,113.97754103359617,119.9981409468758,-1.7266188478970435e-11,-2.319211489520967e-11,-1.1354472917446401e-11,-1.5099382753182204e-05,-1.5097080247251077e-05
107.15193052376068,0.4998930649426434,0.4998930649428708,0.9997861298855142,0.49989306494252733,0.49989306494252733,0.9997861298850547,113.97754223583063,113.97754223583456,119.99814214911223,113.97754223582862,113.97754223582862,119.99814214910822,-4.007461029686965e-12,-2.0037305148434825e-12,-5.9401372709544376e-12,-1.527036476867755e-05,-1.527189855143879e-05
108.3926914021204,0.49989313574521466,0.49989313574521466,0.9997862714904293,0.4998931357454742,0.4998931357454742,0.9997862714909485,113.97754346606028,113.97754346606028,119.99814337933991,113.97754346606479,113.97754346606479,119.99814337934441,4.504840944719035e-12,4.504840944719035e-12,4.504840944719035e-12,-1.5448819585278197e-05,-1.5448741238908383e-05
109.64781961431855,0.49989320819806415,0.4998932081969273,0.9997864163949914,0.4998932081976545,0.4998932081976545,0.999786416395309,113.97754472496416,113.97754472494441,119.99814463823391,113.97754472495706,113.97754472495706,119.99814463823668,2.7711166694643907e-12,-7.105427357601002e-12,1.2647660696529783e-11,-1.562846657540866e-05,-1.5627631753836396e-05
110.91748152624017,0.4998932823373442,0.49989328233779895,0.9997865646751432,0.49989328233748453,0.49989328233748453,0.9997865646749691,113.97754601317041,113.97754601317831,119.998145926454,113.97754601317287,113.97754601317287,119.9981459264525,-1.5063505998114124e-12,2.4584778657299466e-12,-5.4427573559223674e-12,-1.581008104039098e-05,-1.5808593811935114e-05
112.20184543019643,0.4998933582053463,0.49989335820420944,0.9997867164095557,0.499893358204276,0.499893358204276,0.999786716408552,113.97754733141386,113.9775473313941,119.99814724468362,113.97754733139527,113.97754733139527,119.9981472446749,-8.72546479513403e-12,-1.858779796748422e-11,1.1652900866465643e-12,-1.5991089485853304e-05,-1.5991651403683384e-05
113.5010815672316,0.49989343583845025,0.4998934358386776,0.9997868716771279,0.4998934358382559,0.4998934358382559,0.9997868716765118,113.97754868032662,113.97754868033056,119.99814859360822,113.97754868032322,113.97754868032322,119.99814859360285,-5.3717030823463574e-12,-3.396394276933279e-12,-7.332801033044234e-12,-1.6176632373752113e-05,-1.6176828797393954e-05
114.81536214968837,0.4998935152809939,0.4998935152812214,0.9997870305622152,0.49989351528058873,0.49989351528058873,0.9997870305611775,113.97755006067902,113.97755006068297,119.99814997396064,113.97755006067199,113.97755006067199,119.99814997395161,-9.023892744153272e-12,-7.034373084024992e-12,-1.0984990694851149e-11,-1.636589204560525e-05,-1.6364150542616396e-05
116.14486138403437,0.499893596572313,0.4998935965732225,0.9997871931455355,0.4998935965733971,0.4998935965733971,0.9997871931467942,113.97755147315458,113.9775514731704,119.9981513864421,113.9775514731734,113.9775514731734,119.99815138645303,1.0928147275990341e-11,1.8829382497642655e-11,3.0127011996228248e-12,-1.655595947621157e-05,-1.6553641473169625e-05
117.48975549395307,0.4998936797606106,0.49989367976015586,0.9997873595207665,0.49989367975978566,0.49989367975978566,0.9997873595195713,113.97755291859079,113.9775529185829,119.99815283186648,113.97755291857646,113.97755291857646,119.99815283185609,-1.0388134796812665e-11,-1.432454155292362e-11,-6.437517185986508e-12,-1.6746929131338604e-05,-1.6745326710645388e-05
118.85022274370196,0.4998937648852225,0.4998937648852225,0.999787529770445,0.49989376488386306,0.49989376488386306,0.9997875297677261,113.97755439767116,113.97755439767116,119.99815431095078,113.97755439764752,113.97755439764752,119.99815431092715,-2.3632651391380932e-11,-2.3632651391380932e-11,-2.3632651391380932e-11,-1.6937745551001717e-05,-1.693923166763997e-05
120.22644346174143,0.4998938519907138,0.49989385199025904,0.9997877039809728,0.4998938519907648,0.4998938519907648,0.9997877039815296,113.97755591116997,113.97755591116207,119.99815582444563,113.97755591117084,113.97755591117084,119.99815582445046,4.831690603168681e-12,8.668621376273222e-13,8.768097359279636e-12,-1.7136008664705675e-05,-1.7135382051068534e-05
121.61860006463694,0.4998939411264247,0.4998939411273342,0.9997878822537589,0.49989394112667856,0.49989394112667856,0.9997878822533571,113.97755745994452,113.97755745996034,119.99815737323205,113.97755745994893,113.97755745994893,119.99815737322855,-3.495870259939693e-12,4.405364961712621e-12,-1.1411316336307209e-11,-1.7334167396357217e-05,-1.7333803865751398e-05
123.0268770812383,0.49989403233942153,0.4998940323371478,0.9997880646765693,0.4998940323388674,0.4998940323388674,0.9997880646777348,113.9775590448126,113.97755904477309,119.99815895807247,113.97755904480297,113.97755904480297,119.9981589580826,1.0132339411939029e-11,-9.620748642191757e-12,2.9885427466069814e-11,-1.753618621495801e-05,-1.7534523417716147e-05
124.45146117713865,0.4998941256758611,0.4998941256749516,0.9997882513508127,0.49989412567569563,0.49989412567569563,0.9997882513513913,113.9775606665762,113.97756066656038,119.9981605798479,113.97756066657331,113.97756066657331,119.99816057985294,5.030642569181509e-12,-2.8848035071860068e-12,1.2931877790833823e-11,-1.773831238447554e-05,-1.7737567317790472e-05
125.89254117941688,0.4998942211869025,0.4998942211880394,0.9997884423749419,0.499894221186654,0.499894221186654,0.999788442373308,113.97756232612416,113.97756232614393,119.99816223941366,113.97756232611984,113.97756232611984,119.99816223939946,-1.4196643860486802e-11,-4.320099833421409e-12,-2.4087398742267396e-11,-1.7944963175132228e-05,-1.7942962484991926e-05
127.35030810166634,0.49989431892268166,0.49989431892268166,0.9997886378453633,0.49989431892238617,0.49989431892238617,0.9997886378447723,113.97756402432765,113.97756402432765,119.99816393760727,113.97756402432252,113.97756402432252,119.99816393760214,-5.130118552187923e-12,-5.130118552187923e-12,-5.130118552187923e-12,-1.814956804804126e-05,-1.8150736150339265e-05
128.82495516931357,0.4998944189351534,0.49989441893549447,0.9997888378706479,0.49989441893471587,0.49989441893471587,0.9997888378694317,113.97756576208936,113.9775657620953,119.99816567537195,113.97756576208175,113.97756576208175,119.99816567536138,-1.057287590811029e-11,-7.602807272633072e-12,-1.354294454358751e-11,-1.836149904545929e-05,-1.836091586019212e-05
130.31667784523015,0.49989452127638634,0.4998945212757042,0.9997890425520906,0.4998945212766732,0.4998945212766732,0.9997890425533464,113.97756754031398,113.97756754030212,119.99816745358768,113.97756754031896,113.97756754031896,119.99816745359858,1.0899725566559937e-11,4.973799150320701e-12,1.6839862837514374e-11,-1.857313343223372e-05,-1.8573529480144445e-05
131.82567385564093,0.49989462600254186,0.49989462600197343,0.9997892520045153,0.49989462600252454,0.49989462600252454,0.9997892520050491,113.97756935997732,113.97756935996745,119.998169273252,113.97756935997702,113.97756935997702,119.99816927325665,4.646949491871055e-12,-2.984279490192421e-13,9.57811607804615e-12,-1.8790895140388172e-05,-1.878860519864987e-05
133.35214321633262,0.49989473316830324,0.4998947331667116,0.9997894663350149,0.49989473316780014,0.49989473316780014,0.9997894663356003,113.9775712220295,113.97757122200184,119.9981711352953,113.97757122202074,113.97757122202074,119.99817113530037,5.073275133327115e-12,-8.753886504564434e-12,1.8900436771218665e-11,-1.900918439151609e-05,-1.9006171530583876e-05
134.8962882591656,0.499894842830059,0.49989484282812635,0.9997896856581854,0.49989484282932295,0.49989484282932295,0.9997896856586459,113.97757312745026,113.97757312741668,119.99817304071308,113.97757312743748,113.97757312743748,119.99817304071709,4.007461029686965e-12,-1.2775558388966601e-11,2.0804691303055733e-11,-1.922738224098856e-05,-1.9226257321397922e-05
136.4583136588927,0.499894955045335,0.4998949550454487,0.9997899100907837,0.499894955045241,0.499894955045241,0.999789910090482,113.97757507723911,113.97757507724108,119.99817499051973,113.97757507723747,113.97757507723747,119.9981749905171,-2.6290081223123707e-12,-1.6342482922482304e-12,-3.609557097661309e-12,-1.9449645345678944e-05,-1.9448891750620027e-05
138.03842646028875,0.4998950698746124,0.4998950698744987,0.9997901397491111,0.49989506987505566,0.49989506987505566,0.9997901397501113,113.97757707244692,113.97757707244494,119.99817698572555,113.97757707245462,113.97757707245462,119.99817698573425,8.697043085703626e-12,7.702283255639486e-12,9.677592061052565e-12,-1.9675032258952417e-05,-1.9674104335875892e-05
139.63683610559403,0.4998951873792822,0.4998951873791685,0.9997903747584507,0.49989518737965505,0.49989518737965505,0.9997903747593101,113.97757911414034,113.97757911413835,119.99817902741897,113.9775791141468,113.9775791141468,119.99817902742643,7.460698725481052e-12,6.465938895416912e-12,8.455458555545192e-12,-1.9902236686712005e-05,-1.9901924936848305e-05
141.2537544622757,0.4998953076217585,0.499895307620849,0.9997906152426075,0.4998953076213456,0.4998953076213456,0.9997906152426912,113.97758120340382,113.977581203388,119.99818111667553,113.97758120339662,113.97758120339662,119.99818111667625,7.247535904753022e-13,-7.190692485892214e-12,8.625988812127616e-12,-2.0134783312360935e-05,-2.013238375913927e-05
