frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_NM_real_A,I_NM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_NM_phase_deg
1.000000000000000000e+02,9.877480483058596050e-01,9.877480483058596050e-01,9.877480483058596050e-01,1.198929236046129176e+02,1.198929236046129176e+02,1.198929236046129176e+02,9.877369462425834579e-01,-4.683156991864946030e-03,-9.877369462425834579e-01,4.683156991864946030e-03,9.877369462425834579e-01,-4.683156991864946030e-03,-2.716544327273049397e-01,1.797283455672726973e+02,-2.716544327273049397e-01
1.011579454259898228e+02,9.877507256398435631e-01,9.877507256398435631e-01,9.877507256398435631e-01,1.198929471480621203e+02,1.198929471480621203e+02,1.198929471480621203e+02,9.877393648612918797e-01,-4.737415482015116218e-03,-9.877393648612918797e-01,4.737415482015116218e-03,9.877393648612918797e-01,-4.737415482015116218e-03,-2.748010672386252407e-01,1.797251989327613728e+02,-2.748010672386252407e-01
1.023292992280753566e+02,9.877534653469048909e-01,9.877534653469048909e-01,9.877534653469048909e-01,1.198929712399301906e+02,1.198929712399301906e+02,1.198929712399301906e+02,9.877418398214035111e-01,-4.792303313434951965e-03,-9.877418398214035111e-01,4.792303313434951965e-03,9.877418398214035111e-01,-4.792303313434951965e-03,-2.779841740652990167e-01,1.797220158259347045e+02,-2.779841740652990167e-01
1.035142166679344058e+02,9.877562688803674940e-01,9.877562688803674940e-01,9.877562688803674940e-01,1.198929958929924737e+02,1.198929958929924737e+02,1.198929958929924737e+02,9.877443724354912913e-01,-4.847827810730107913e-03,-9.877443724354912913e-01,4.847827810730107913e-03,9.877443724354912913e-01,-4.847827810730107913e-03,-2.812041768023579302e-01,1.797187958231976381e+02,-2.812041768023579302e-01
1.047128548050899610e+02,9.877591377274314022e-01,9.877591377274314022e-01,9.877591377274314022e-01,1.198930211203219045e+02,1.198930211203219045e+02,1.198930211203219045e+02,9.877469640467128054e-01,-4.903996384628925807e-03,-9.877469640467128054e-01,4.903996384628925807e-03,9.877469640467128054e-01,-4.903996384628925807e-03,-2.844615039943516055e-01,1.797155384960056494e+02,-2.844615039943516055e-01
1.059253725177288601e+02,9.877620734099596955e-01,9.877620734099596955e-01,9.877620734099596955e-01,1.198930469352960131e+02,1.198930469352960131e+02,1.198930469352960131e+02,9.877496160295219374e-01,-4.960816533024469885e-03,-9.877496160295219374e-01,4.960816533024469885e-03,9.877496160295219374e-01,-4.960816533024469885e-03,-2.877565891941549769e-01,1.797122434108058542e+02,-2.877565891941549769e-01
1.071519305237605977e+02,9.877650774852893001e-01,9.877650774852893001e-01,9.877650774852893001e-01,1.198930733516039311e+02,1.198930733516039311e+02,1.198930733516039311e+02,9.877523297903990640e-01,-5.018295842032729874e-03,-9.877523297903990640e-01,5.018295842032729874e-03,9.877523297903990640e-01,-5.018295842032729874e-03,-2.910898710226557662e-01,1.797089101289773510e+02,-2.910898710226557662e-01
1.083926914021203913e+02,9.877681515470574380e-01,9.877681515470574380e-01,9.877681515470574380e-01,1.198931003832537954e+02,1.198931003832537954e+02,1.198931003832537954e+02,9.877551067685972352e-01,-5.076441987062760633e-03,-9.877551067685972352e-01,5.076441987062760633e-03,9.877551067685972352e-01,-5.076441987062760633e-03,-2.944617932290743423e-01,1.797055382067709104e+02,-2.944617932290743423e-01
1.096478196143185073e+02,9.877712972260490609e-01,9.877712972260490609e-01,9.877712972260490609e-01,1.198931280445800098e+02,1.198931280445800098e+02,1.198931280445800098e+02,9.877579484369060081e-01,-5.135262733901392596e-03,-9.877579484369060081e-01,5.135262733901392596e-03,9.877579484369060081e-01,-5.135262733901392596e-03,-2.978728047520667888e-01,1.797021271952479538e+02,-2.978728047520667888e-01
1.109174815262400955e+02,9.877745161910614913e-01,9.877745161910614913e-01,9.877745161910614913e-01,1.198931563502509334e+02,1.198931563502509334e+02,1.198931563502509334e+02,9.877608563024331545e-01,-5.194765939813496616e-03,-9.877608563024331545e-01,5.194765939813496616e-03,9.877608563024331545e-01,-5.194765939813496616e-03,-3.013233597816665776e-01,1.796986766402183378e+02,-3.013233597816665776e-01
1.122018454301963004e+02,9.877778101497934893e-01,9.877778101497934893e-01,9.877778101497934893e-01,1.198931853152766962e+02,1.198931853152766962e+02,1.198931853152766962e+02,9.877638319074050210e-01,-5.254959554654546269e-03,-9.877638319074050210e-01,5.254959554654546269e-03,9.877638319074050210e-01,-5.254959554654546269e-03,-3.048139178218717826e-01,1.796951860821781395e+02,-3.048139178218717826e-01
1.135010815672315516e+02,9.877811808497519719e-01,9.877811808497519719e-01,9.877811808497519719e-01,1.198932149550171147e+02,1.198932149550171147e+02,1.198932149550171147e+02,9.877668768299854296e-01,-5.315851622001495358e-03,-9.877668768299854296e-01,5.315851622001495358e-03,9.877668768299854296e-01,-5.315851622001495358e-03,-3.083449437542277738e-01,1.796916550562457644e+02,-3.083449437542277738e-01
1.148153621496882835e+02,9.877846300791791601e-01,9.877846300791791601e-01,9.877846300791791601e-01,1.198932452851898489e+02,1.198932452851898489e+02,1.198932452851898489e+02,9.877699926851106760e-01,-5.377450280293814833e-03,-9.877699926851106760e-01,5.377450280293814833e-03,9.877699926851106760e-01,-5.377450280293814833e-03,-3.119169079019271096e-01,1.796880830920980827e+02,-3.119169079019271096e-01
1.161448613840342574e+02,9.877881596680060383e-01,9.877881596680060383e-01,9.877881596680060383e-01,1.198932763218787301e+02,1.198932763218787301e+02,1.198932763218787301e+02,9.877731811253523952e-01,-5.439763763994483366e-03,-9.877731811253523952e-01,5.439763763994483366e-03,9.877731811253523952e-01,-5.439763763994483366e-03,-3.155302860949919519e-01,1.796844697139050311e+02,-3.155302860949919519e-01
