frequency_Hz,gain_Rs0_dB,gain_Rs50_dB,abs_H_Rs0,abs_H_Rs50
1.000000000000000000e+02,-1.070423090065214383e-01,-8.817951793283839379e+00,9.877519245722334862e-01,3.623284284715262427e-01
1.011579454259898228e+02,-1.070179715819269961e-01,-8.818557314986211537e+00,9.877546922071750446e-01,3.623031702551915423e-01
1.023292992280753566e+02,-1.069930672443224068e-01,-8.819176847964888211e+00,9.877575243190963583e-01,3.622773294067717642e-01
1.035142166679344058e+02,-1.069675827875886248e-01,-8.819810714223757842e+00,9.877604224103534447e-01,3.622508926217977154e-01
1.047128548050899610e+02,-1.069415046979496769e-01,-8.820459243063696775e+00,9.877633880183198656e-01,3.622238462983146667e-01
1.059253725177288601e+02,-1.069148191468067000e-01,-8.821122771243054217e+00,9.877664227162031851e-01,3.621961765305284353e-01
1.071519305237605977e+02,-1.068875119833942178e-01,-8.821801643141492733e+00,9.877695281138817451e-01,3.621678691023282326e-01
1.083926914021203913e+02,-1.068595687272806127e-01,-8.822496210927182503e+00,9.877727058587592035e-01,3.621389094806858333e-01
1.096478196143185073e+02,-1.068309745606852573e-01,-8.823206834727404413e+00,9.877759576366400562e-01,3.621092828089303439e-01
1.109174815262400955e+02,-1.068017143206153319e-01,-8.823933882802631246e+00,9.877792851726256984e-01,3.620789738998966278e-01
1.122018454301963004e+02,-1.067717724908231330e-01,-8.824677731724163365e+00,9.877826902320310243e-01,3.620479672289437234e-01
1.135010815672315516e+02,-1.067411331935767260e-01,-8.825438766555315340e+00,9.877861746213223437e-01,3.620162469268461414e-01
1.148153621496882835e+02,-1.067097801812302987e-01,-8.826217381036322251e+00,9.877897401890781692e-01,3.619837967725507699e-01
1.161448613840342574e+02,-1.066776968276168247e-01,-8.827013977772871556e+00,9.877933888269703200e-01,3.619506001858038280e-01
1.174897554939529130e+02,-1.066448661192161834e-01,-8.827828968428523382e+00,9.877971224707706721e-01,3.619166402196395960e-01
1.188502227437018917e+02,-1.066112706461241760e-01,-8.828662773920823881e+00,9.878009431013806685e-01,3.618818995527380844e-01
1.202264434617413116e+02,-1.065768925928458344e-01,-8.829515824621431364e+00,9.878048527458809236e-01,3.618463604816410939e-01
1.216186000646367944e+02,-1.065417137288058036e-01,-8.830388560560143318e+00,9.878088534786131358e-01,3.618100049128311069e-01
1.230268770812381121e+02,-1.065057153986959243e-01,-8.831281431632918455e+00,9.878129474222806516e-01,3.617728143546710129e-01
1.244514611771385688e+02,-1.064688785125759429e-01,-8.832194897814016343e+00,9.878171367490772292e-01,3.617347699092012814e-01
1.258925411794167530e+02,-1.064311835357422548e-01,-8.833129429372231556e+00,9.878214236818423366e-01,3.616958522637948592e-01
1.273503081016661582e+02,-1.063926104783725068e-01,-8.834085507091350209e+00,9.878258104952420959e-01,3.616560416826681834e-01
1.288249551693133697e+02,-1.063531388849000836e-01,-8.835063622494841340e+00,9.878302995169810918e-01,3.616153179982478649e-01
1.303166778452300036e+02,-1.063127478231793155e-01,-8.836064278074864831e+00,9.878348931290381607e-01,3.615736606023907673e-01
1.318256738556407299e+02,-1.062714158733749636e-01,-8.837087987525656274e+00,9.878395937689337103e-01,3.615310484374574806e-01
1.333521432163323936e+02,-1.062291211165817956e-01,-8.838135275981342076e+00,9.878444039310279035e-01,3.614874599872379135e-01
1.348962882591653170e+02,-1.061858411232184801e-01,-8.839206680258238080e+00,9.878493261678447102e-01,3.614428732677284484e-01
1.364583136588923935e+02,-1.061415529411070813e-01,-8.840302749101700996e+00,9.878543630914319307e-01,3.613972658177596609e-01
1.380384264602885196e+02,-1.060962330832992129e-01,-8.841424043437580593e+00,9.878595173747501956e-01,3.613506146894742699e-01
1.396368361055937726e+02,-1.060498575156215151e-01,-8.842571136628343709e+00,9.878647917530941625e-01,3.613028964386540975e-01
1.412537544622753956e+02,-1.060024016439035932e-01,-8.843744614733891396e+00,9.878701890255500162e-01,3.612540871148972599e-01
1.428893958511102085e+02,-1.059538403009465113e-01,-8.844945076777177562e+00,9.878757120564827243e-01,3.612041622516430905e-01
1.445439770745927888e+02,-1.059041477331500170e-01,-8.846173135014620215e+00,9.878813637770623712e-01,3.611530968560467958e-01
1.462177174456718376e+02,-1.058532975868598514e-01,-8.847429415211427894e+00,9.878871471868225784e-01,3.611008653987020089e-01
1.479108388168207284e+02,-1.058012628943729022e-01,-8.848714556921811081e+00,9.878930653552581154e-01,3.610474418032129096e-01
1.496235656094432898e+02,-1.057480160596335900e-01,-8.850029213774197601e+00,9.878991214234579266e-01,3.609927994356152414e-01
1.513561248436208757e+02,-1.056935288435725817e-01,-8.851374053761471572e+00,9.879053186057791258e-01,3.609369110936470060e-01
1.531087461682030266e+02,-1.056377723491292442e-01,-8.852749759536273189e+00,9.879116601915572948e-01,3.608797489958691096e-01
1.548816618912481147e+02,-1.055807170059293448e-01,-8.854157028711439281e+00,9.879181495468563057e-01,3.608212847706369630e-01
