frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_CM_phase_deg
1.000000000000000000e+02,4.998926727151352112e-01,4.998926727151352112e-01,9.997853454302704224e-01,1.139775354206807094e+02,1.139775354206807094e+02,1.199981353339603345e+02,-1.425255255082573913e-05
1.011579454259898228e+02,4.998927343818260205e-01,4.998927343818260205e-01,9.997854687636520410e-01,1.139775364921707705e+02,1.139775364921707705e+02,1.199981364054503956e+02,-1.441759131182438092e-05
1.023292992280753566e+02,4.998927974849342593e-01,4.998927974849342593e-01,9.997855949698685185e-01,1.139775375886191853e+02,1.139775375886191853e+02,1.199981375018988103e+02,-1.458454120124591541e-05
1.035142166679344058e+02,4.998928620579192184e-01,4.998928620579192184e-01,9.997857241158384367e-01,1.139775387106073197e+02,1.139775387106073197e+02,1.199981386238869447e+02,-1.475342435129354264e-05
1.047128548050899610e+02,4.998929281350197318e-01,4.998929281350197318e-01,9.997858562700394636e-01,1.139775398587300685e+02,1.139775398587300685e+02,1.199981397720096936e+02,-1.492426315061840852e-05
1.059253725177288601e+02,4.998929957512716071e-01,4.998929957512716071e-01,9.997859915025432143e-01,1.139775410335961823e+02,1.139775410335961823e+02,1.199981409468758073e+02,-1.509708024724903941e-05
1.071519305237605977e+02,4.998930649425272765e-01,4.998930649425272765e-01,9.997861298850545531e-01,1.139775422358285937e+02,1.139775422358285937e+02,1.199981421491082187e+02,-1.527189855142340190e-05
1.083926914021203913e+02,4.998931357454741709e-01,4.998931357454741709e-01,9.997862714909483417e-01,1.139775434660647875e+02,1.139775434660647875e+02,1.199981433793444126e+02,-1.544874123891612784e-05
1.096478196143185073e+02,4.998932081976543151e-01,4.998932081976543151e-01,9.997864163953086303e-01,1.139775447249570419e+02,1.139775447249570419e+02,1.199981446382366670e+02,-1.562763175383254400e-05
1.109174815262400955e+02,4.998932823374847567e-01,4.998932823374847567e-01,9.997865646749695134e-01,1.139775460131728693e+02,1.139775460131728693e+02,1.199981459264524943e+02,-1.580859381195475884e-05
1.122018454301963004e+02,4.998933582042762169e-01,4.998933582042762169e-01,9.997867164085524339e-01,1.139775473313952716e+02,1.139775473313952716e+02,1.199981472446748967e+02,-1.599165140368386871e-05
1.135010815672315516e+02,4.998934358382559062e-01,4.998934358382559062e-01,9.997868716765118124e-01,1.139775486803232241e+02,1.139775486803232241e+02,1.199981485936028491e+02,-1.617682879740547724e-05
1.148153621496882835e+02,4.998935152805886739e-01,4.998935152805886739e-01,9.997870305611773478e-01,1.139775500606719874e+02,1.139775500606719874e+02,1.199981499739516124e+02,-1.636415054263512850e-05
1.161448613840342574e+02,4.998935965733971032e-01,4.998935965733971032e-01,9.997871931467942064e-01,1.139775514731734063e+02,1.139775514731734063e+02,1.199981513864530314e+02,-1.655364147318055205e-05
1.174897554939529130e+02,4.998936797597857695e-01,4.998936797597857695e-01,9.997873595195715390e-01,1.139775529185764782e+02,1.139775529185764782e+02,1.199981528318561033e+02,-1.674532671064777619e-05
1.188502227437018917e+02,4.998937648838630010e-01,4.998937648838630010e-01,9.997875297677260020e-01,1.139775543976475234e+02,1.139775543976475234e+02,1.199981543109271485e+02,-1.693923166763301245e-05
1.202264434617413116e+02,4.998938519907648037e-01,4.998938519907648037e-01,9.997877039815296074e-01,1.139775559111708390e+02,1.139775559111708390e+02,1.199981558244504640e+02,-1.713538205108873060e-05
1.216186000646367944e+02,4.998939411266785648e-01,4.998939411266785648e-01,9.997878822533571297e-01,1.139775574599489261e+02,1.139775574599489261e+02,1.199981573732285511e+02,-1.733380386574423523e-05
1.230268770812381121e+02,4.998940323388674223e-01,4.998940323388674223e-01,9.997880646777348446e-01,1.139775590448029732e+02,1.139775590448029732e+02,1.199981589580825982e+02,-1.753452341772055158e-05
1.244514611771385688e+02,4.998941256756956331e-01,4.998941256756956331e-01,9.997882513513912661e-01,1.139775606665733108e+02,1.139775606665733108e+02,1.199981605798529358e+02,-1.773756731778348953e-05
1.258925411794167530e+02,4.998942211866539420e-01,4.998942211866539420e-01,9.997884423733078840e-01,1.139775623261198376e+02,1.139775623261198376e+02,1.199981622393994627e+02,-1.794296248499099112e-05
1.273503081016661582e+02,4.998943189223862271e-01,4.998943189223862271e-01,9.997886378447724542e-01,1.139775640243225183e+02,1.139775640243225183e+02,1.199981639376021434e+02,-1.815073615032834192e-05
1.288249551693133697e+02,4.998944189347159228e-01,4.998944189347159228e-01,9.997888378694318456e-01,1.139775657620817526e+02,1.139775657620817526e+02,1.199981656753613777e+02,-1.836091586017746206e-05
1.303166778452300036e+02,4.998945212766732205e-01,4.998945212766732205e-01,9.997890425533464409e-01,1.139775675403189581e+02,1.139775675403189581e+02,1.199981674535985832e+02,-1.857352948015565281e-05
1.318256738556407299e+02,4.998946260025246002e-01,4.998946260025246002e-01,9.997892520050492005e-01,1.139775693599770250e+02,1.139775693599770250e+02,1.199981692732566501e+02,-1.878860519864086301e-05
1.333521432163323936e+02,4.998947331678001427e-01,4.998947331678001427e-01,9.997894663356002853e-01,1.139775712220207424e+02,1.139775712220207424e+02,1.199981711353003675e+02,-1.900617153059806549e-05
1.348962882591653170e+02,4.998948428293230606e-01,4.998948428293230606e-01,9.997896856586461212e-01,1.139775731274374806e+02,1.139775731274374806e+02,1.199981730407171057e+02,-1.922625732141845431e-05
1.364583136588923935e+02,4.998949550452410073e-01,4.998949550452410073e-01,9.997899100904820147e-01,1.139775750772374749e+02,1.139775750772374749e+02,1.199981749905171000e+02,-1.944889175061320969e-05
1.380384264602885196e+02,4.998950698750556643e-01,4.998950698750556643e-01,9.997901397501113285e-01,1.139775770724546220e+02,1.139775770724546220e+02,1.199981769857342471e+02,-1.967410433587360815e-05
1.396368361055937726e+02,4.998951873796551038e-01,4.998951873796551038e-01,9.997903747593102075e-01,1.139775791141468062e+02,1.139775791141468062e+02,1.199981790274264313e+02,-1.990192493684601801e-05
1.412537544622753956e+02,4.998953076213456526e-01,4.998953076213456526e-01,9.997906152426913051e-01,1.139775812033966247e+02,1.139775812033966247e+02,1.199981811166762498e+02,-2.013238375914681516e-05
1.428893958511102085e+02,4.998954306638846989e-01,4.998954306638846989e-01,9.997908613277693979e-01,1.139775833413118420e+02,1.139775833413118420e+02,1.199981832545914671e+02,-2.036551135830934998e-05
1.445439770745927888e+02,4.998955565725157202e-01,4.998955565725157202e-01,9.997911131450314404e-01,1.139775855290260438e+02,1.139775855290260438e+02,1.199981854423056689e+02,-2.060133864404556996e-05
1.462177174456718376e+02,4.998956854140013117e-01,4.998956854140013117e-01,9.997913708280026235e-01,1.139775877676992479e+02,1.139775877676992479e+02,1.199981876809788730e+02,-2.083989688411327400e-05
1.479108388168207284e+02,4.998958172566594915e-01,4.998958172566594915e-01,9.997916345133189830e-01,1.139775900585184161e+02,1.139775900585184161e+02,1.199981899717980411e+02,-2.108121770862210264e-05
1.496235656094432898e+02,4.998959521703999487e-01,4.998959521703999487e-01,9.997919043407998974e-01,1.139775924026982779e+02,1.139775924026982779e+02,1.199981923159779029e+02,-2.132533311418317282e-05
1.513561248436208757e+02,4.998960902267603479e-01,4.998960902267603479e-01,9.997921804535206958e-01,1.139775948014817430e+02,1.139775948014817430e+02,1.199981947147613681e+02,-2.157227546815580288e-05
1.531087461682030266e+02,4.998962314989459088e-01,4.998962314989459088e-01,9.997924629978918176e-01,1.139775972561407400e+02,1.139775972561407400e+02,1.199981971694203651e+02,-2.182207751295366210e-05
1.548816618912481147e+02,4.998963760618660990e-01,4.998963760618660990e-01,9.997927521237321979e-01,1.139775997679768409e+02,1.139775997679768409e+02,1.199981996812564660e+02,-2.207477237050744167e-05
1.566751070108148554e+02,4.998965239921761006e-01,4.998965239921761006e-01,9.997930479843522011e-01,1.139776023383218444e+02,1.139776023383218444e+02,1.199982022516014695e+02,-2.233039354639134171e-05
1.584893192461114211e+02,4.998966753683165010e-01,4.998966753683165010e-01,9.997933507366330019e-01,1.139776049685386567e+02,1.139776049685386567e+02,1.199982048818182818e+02,-2.258897493462892956e-05
1.603245390690041745e+02,4.998968302705553701e-01,4.998968302705553701e-01,9.997936605411107402e-01,1.139776076600219454e+02,1.139776076600219454e+02,1.199982075733015705e+02,-2.285055082192425570e-05
1.621810097358929852e+02,4.998969887810302271e-01,4.998969887810302271e-01,9.997939775620604541e-01,1.139776104141987787e+02,1.139776104141987787e+02,1.199982103274784038e+02,-2.311515589234414004e-05
1.640589773199538683e+02,4.998971509837929483e-01,4.998971509837929483e-01,9.997943019675858967e-01,1.139776132325295634e+02,1.139776132325295634e+02,1.199982131458091885e+02,-2.338282523190021362e-05
1.659586907437561365e+02,4.998973169648524562e-01,4.998973169648524562e-01,9.997946339297049123e-01,1.139776161165086421e+02,1.139776161165086421e+02,1.199982160297882672e+02,-2.365359433329929621e-05
1.678804018122560535e+02,4.998974868122216253e-01,4.998974868122216253e-01,9.997949736244432506e-01,1.139776190676652163e+02,1.139776190676652163e+02,1.199982189809448414e+02,-2.392749910046491918e-05
