frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_NM_phase_deg
1.000000000000000000e+02,9.877480483058596050e-01,9.877480483058596050e-01,9.877480483058596050e-01,1.198929236046129176e+02,1.198929236046129176e+02,1.198929236046129176e+02,-2.716544327273049397e-01
1.011579454259898228e+02,9.877507256398435631e-01,9.877507256398435631e-01,9.877507256398435631e-01,1.198929471480621203e+02,1.198929471480621203e+02,1.198929471480621203e+02,-2.748010672386252407e-01
1.023292992280753566e+02,9.877534653469048909e-01,9.877534653469048909e-01,9.877534653469048909e-01,1.198929712399301906e+02,1.198929712399301906e+02,1.198929712399301906e+02,-2.779841740652990167e-01
1.035142166679344058e+02,9.877562688803674940e-01,9.877562688803674940e-01,9.877562688803674940e-01,1.198929958929924737e+02,1.198929958929924737e+02,1.198929958929924737e+02,-2.812041768023579302e-01
1.047128548050899610e+02,9.877591377274314022e-01,9.877591377274314022e-01,9.877591377274314022e-01,1.198930211203219045e+02,1.198930211203219045e+02,1.198930211203219045e+02,-2.844615039943516055e-01
1.059253725177288601e+02,9.877620734099596955e-01,9.877620734099596955e-01,9.877620734099596955e-01,1.198930469352960131e+02,1.198930469352960131e+02,1.198930469352960131e+02,-2.877565891941549769e-01
1.071519305237605977e+02,9.877650774852893001e-01,9.877650774852893001e-01,9.877650774852893001e-01,1.198930733516039311e+02,1.198930733516039311e+02,1.198930733516039311e+02,-2.910898710226557662e-01
1.083926914021203913e+02,9.877681515470574380e-01,9.877681515470574380e-01,9.877681515470574380e-01,1.198931003832537954e+02,1.198931003832537954e+02,1.198931003832537954e+02,-2.944617932290743423e-01
1.096478196143185073e+02,9.877712972260490609e-01,9.877712972260490609e-01,9.877712972260490609e-01,1.198931280445800098e+02,1.198931280445800098e+02,1.198931280445800098e+02,-2.978728047520667888e-01
1.109174815262400955e+02,9.877745161910614913e-01,9.877745161910614913e-01,9.877745161910614913e-01,1.198931563502509334e+02,1.198931563502509334e+02,1.198931563502509334e+02,-3.013233597816665776e-01
1.122018454301963004e+02,9.877778101497934893e-01,9.877778101497934893e-01,9.877778101497934893e-01,1.198931853152766962e+02,1.198931853152766962e+02,1.198931853152766962e+02,-3.048139178218717826e-01
1.135010815672315516e+02,9.877811808497519719e-01,9.877811808497519719e-01,9.877811808497519719e-01,1.198932149550171147e+02,1.198932149550171147e+02,1.198932149550171147e+02,-3.083449437542277738e-01
1.148153621496882835e+02,9.877846300791791601e-01,9.877846300791791601e-01,9.877846300791791601e-01,1.198932452851898489e+02,1.198932452851898489e+02,1.198932452851898489e+02,-3.119169079019271096e-01
1.161448613840342574e+02,9.877881596680060383e-01,9.877881596680060383e-01,9.877881596680060383e-01,1.198932763218787301e+02,1.198932763218787301e+02,1.198932763218787301e+02,-3.155302860949919519e-01
1.174897554939529130e+02,9.877917714888219125e-01,9.877917714888219125e-01,9.877917714888219125e-01,1.198933080815423011e+02,1.198933080815423011e+02,1.198933080815423011e+02,-3.191855597361859531e-01
