frequency_Hz,FR_gain_Rs0_dB,FR_gain_Rs50_dB,CM_I_HOT_dBuA,CM_I_RTN_dBuA,CM_I_CM_dBuA,NM_I_HOT_dBuA,NM_I_RTN_dBuA,NM_I_NM_dBuA,CM_I_CM_abs_A,NM_I_NM_abs_A
1.000000000000000000e+02,-1.070423090065214383e-01,-8.817951793283839379e+00,1.139775354206807094e+02,1.139775354206807094e+02,1.199981353339603345e+02,1.198929236046129176e+02,1.198929236046129176e+02,1.198929236046129176e+02,9.997853454302704224e-01,9.877480483058596050e-01
1.011579454259898228e+02,-1.070179715819269961e-01,-8.818557314986211537e+00,1.139775364921707705e+02,1.139775364921707705e+02,1.199981364054503956e+02,1.198929471480621203e+02,1.198929471480621203e+02,1.198929471480621203e+02,9.997854687636520410e-01,9.877507256398435631e-01
1.023292992280753566e+02,-1.069930672443224068e-01,-8.819176847964888211e+00,1.139775375886191853e+02,1.139775375886191853e+02,1.199981375018988103e+02,1.198929712399301906e+02,1.198929712399301906e+02,1.198929712399301906e+02,9.997855949698685185e-01,9.877534653469048909e-01
1.035142166679344058e+02,-1.069675827875886248e-01,-8.819810714223757842e+00,1.139775387106073197e+02,1.139775387106073197e+02,1.199981386238869447e+02,1.198929958929924737e+02,1.198929958929924737e+02,1.198929958929924737e+02,9.997857241158384367e-01,9.877562688803674940e-01
1.047128548050899610e+02,-1.069415046979496769e-01,-8.820459243063696775e+00,1.139775398587300685e+02,1.139775398587300685e+02,1.199981397720096936e+02,1.198930211203219045e+02,1.198930211203219045e+02,1.198930211203219045e+02,9.997858562700394636e-01,9.877591377274314022e-01
1.059253725177288601e+02,-1.069148191468067000e-01,-8.821122771243054217e+00,1.139775410335961823e+02,1.139775410335961823e+02,1.199981409468758073e+02,1.198930469352960131e+02,1.198930469352960131e+02,1.198930469352960131e+02,9.997859915025432143e-01,9.877620734099596955e-01
1.071519305237605977e+02,-1.068875119833942178e-01,-8.821801643141492733e+00,1.139775422358285937e+02,1.139775422358285937e+02,1.199981421491082187e+02,1.198930733516039311e+02,1.198930733516039311e+02,1.198930733516039311e+02,9.997861298850545531e-01,9.877650774852893001e-01
1.083926914021203913e+02,-1.068595687272806127e-01,-8.822496210927182503e+00,1.139775434660647875e+02,1.139775434660647875e+02,1.199981433793444126e+02,1.198931003832537954e+02,1.198931003832537954e+02,1.198931003832537954e+02,9.997862714909483417e-01,9.877681515470574380e-01
1.096478196143185073e+02,-1.068309745606852573e-01,-8.823206834727404413e+00,1.139775447249570419e+02,1.139775447249570419e+02,1.199981446382366670e+02,1.198931280445800098e+02,1.198931280445800098e+02,1.198931280445800098e+02,9.997864163953086303e-01,9.877712972260490609e-01
1.109174815262400955e+02,-1.068017143206153319e-01,-8.823933882802631246e+00,1.139775460131728693e+02,1.139775460131728693e+02,1.199981459264524943e+02,1.198931563502509334e+02,1.198931563502509334e+02,1.198931563502509334e+02,9.997865646749695134e-01,9.877745161910614913e-01
1.122018454301963004e+02,-1.067717724908231330e-01,-8.824677731724163365e+00,1.139775473313952716e+02,1.139775473313952716e+02,1.199981472446748967e+02,1.198931853152766962e+02,1.198931853152766962e+02,1.198931853152766962e+02,9.997867164085524339e-01,9.877778101497934893e-01
1.135010815672315516e+02,-1.067411331935767260e-01,-8.825438766555315340e+00,1.139775486803232241e+02,1.139775486803232241e+02,1.199981485936028491e+02,1.198932149550171147e+02,1.198932149550171147e+02,1.198932149550171147e+02,9.997868716765118124e-01,9.877811808497519719e-01
1.148153621496882835e+02,-1.067097801812302987e-01,-8.826217381036322251e+00,1.139775500606719874e+02,1.139775500606719874e+02,1.199981499739516124e+02,1.198932452851898489e+02,1.198932452851898489e+02,1.198932452851898489e+02,9.997870305611773478e-01,9.877846300791791601e-01
1.161448613840342574e+02,-1.066776968276168247e-01,-8.827013977772871556e+00,1.139775514731734063e+02,1.139775514731734063e+02,1.199981513864530314e+02,1.198932763218787301e+02,1.198932763218787301e+02,1.198932763218787301e+02,9.997871931467942064e-01,9.877881596680060383e-01
1.174897554939529130e+02,-1.066448661192161834e-01,-8.827828968428523382e+00,1.139775529185764782e+02,1.139775529185764782e+02,1.199981528318561033e+02,1.198933080815423011e+02,1.198933080815423011e+02,1.198933080815423011e+02,9.997873595195715390e-01,9.877917714888219125e-01
1.188502227437018917e+02,-1.066112706461241760e-01,-8.828662773920823881e+00,1.139775543976475234e+02,1.139775543976475234e+02,1.199981543109271485e+02,1.198933405810225992e+02,1.198933405810225992e+02,1.198933405810225992e+02,9.997875297677260020e-01,9.877954674578715011e-01
1.202264434617413116e+02,-1.065768925928458344e-01,-8.829515824621431364e+00,1.139775559111708390e+02,1.139775559111708390e+02,1.199981558244504640e+02,1.198933738375539946e+02,1.198933738375539946e+02,1.198933738375539946e+02,9.997877039815296074e-01,9.877992495360727876e-01
1.216186000646367944e+02,-1.065417137288058036e-01,-8.830388560560143318e+00,1.139775574599489261e+02,1.139775574599489261e+02,1.199981573732285511e+02,1.198934078687723854e+02,1.198934078687723854e+02,1.198934078687723854e+02,9.997878822533571297e-01,9.878031197300601862e-01
1.230268770812381121e+02,-1.065057153986959243e-01,-8.831281431632918455e+00,1.139775590448029732e+02,1.139775590448029732e+02,1.199981589580825982e+02,1.198934426927246193e+02,1.198934426927246193e+02,1.198934426927246193e+02,9.997880646777348446e-01,9.878070800932501339e-01
1.244514611771385688e+02,-1.064688785125759429e-01,-8.832194897814016343e+00,1.139775606665733108e+02,1.139775606665733108e+02,1.199981605798529358e+02,1.198934783278778866e+02,1.198934783278778866e+02,1.198934783278778866e+02,9.997882513513912661e-01,9.878111327269342157e-01
1.258925411794167530e+02,-1.064311835357422548e-01,-8.833129429372231556e+00,1.139775623261198376e+02,1.139775623261198376e+02,1.199981622393994627e+02,1.198935147931297536e+02,1.198935147931297536e+02,1.198935147931297536e+02,9.997884423733078840e-01,9.878152797813943842e-01
1.273503081016661582e+02,-1.063926104783725068e-01,-8.834085507091350209e+00,1.139775640243225183e+02,1.139775640243225183e+02,1.199981639376021434e+02,1.198935521078180102e+02,1.198935521078180102e+02,1.198935521078180102e+02,9.997886378447724542e-01,9.878195234570488203e-01
1.288249551693133697e+02,-1.063531388849000836e-01,-8.835063622494841340e+00,1.139775657620817526e+02,1.139775657620817526e+02,1.199981656753613777e+02,1.198935902917310017e+02,1.198935902917310017e+02,1.198935902917310017e+02,9.997888378694318456e-01,9.878238660056199993e-01
1.303166778452300036e+02,-1.063127478231793155e-01,-8.836064278074864831e+00,1.139775675403189581e+02,1.139775675403189581e+02,1.199981674535985832e+02,1.198936293651181018e+02,1.198936293651181018e+02,1.198936293651181018e+02,9.997890425533464409e-01,9.878283097313325101e-01
1.318256738556407299e+02,-1.062714158733749636e-01,-8.837087987525656274e+00,1.139775693599770250e+02,1.139775693599770250e+02,1.199981692732566501e+02,1.198936693487004987e+02,1.198936693487004987e+02,1.198936693487004987e+02,9.997892520050492005e-01,9.878328569921395186e-01
1.333521432163323936e+02,-1.062291211165817956e-01,-8.838135275981342076e+00,1.139775712220207424e+02,1.139775712220207424e+02,1.199981711353003675e+02,1.198937102636821663e+02,1.198937102636821663e+02,1.198937102636821663e+02,9.997894663356002853e-01,9.878375102009755437e-01
1.348962882591653170e+02,-1.061858411232184801e-01,-8.839206680258238080e+00,1.139775731274374806e+02,1.139775731274374806e+02,1.199981730407171057e+02,1.198937521317610617e+02,1.198937521317610617e+02,1.198937521317610617e+02,9.997896856586461212e-01,9.878422718270416514e-01
1.364583136588923935e+02,-1.061415529411070813e-01,-8.840302749101700996e+00,1.139775750772374749e+02,1.139775750772374749e+02,1.199981749905171000e+02,1.198937949751407785e+02,1.198937949751407785e+02,1.198937949751407785e+02,9.997899100904820147e-01,9.878471443971157395e-01
1.380384264602885196e+02,-1.060962330832992129e-01,-8.841424043437580593e+00,1.139775770724546220e+02,1.139775770724546220e+02,1.199981769857342471e+02,1.198938388165421429e+02,1.198938388165421429e+02,1.198938388165421429e+02,9.997901397501113285e-01,9.878521304969011263e-01
1.396368361055937726e+02,-1.060498575156215151e-01,-8.842571136628343709e+00,1.139775791141468062e+02,1.139775791141468062e+02,1.199981790274264313e+02,1.198938836792154774e+02,1.198938836792154774e+02,1.198938836792154774e+02,9.997903747593102075e-01,9.878572327723977864e-01
