harmonic_n,frequency_Hz,dm_source_rms_A,cm_source_total_rms_A,dm_transfer_abs,cm_transfer_abs,dm_at_LDM1_rms_A,cm_at_LDM1_rms_A,dm_at_LDM1_dBuA,cm_at_LDM1_dBuA,ce03_limit_dBuA,dm_margin_dB,cm_margin_dB
1.000000000000000000e+00,1.250000000000000000e+05,4.501292336169944730e-01,9.002584672339889599e-03,1.316180509056870786e-03,1.345882107982905029e-01,5.924513238433949409e-04,1.211641763610340171e-03,5.545305348504810183e+01,6.166748468893971591e+01,5.759659634213831936e+01,2.143542857090217524e+00,-4.070888346801396551e+00
2.000000000000000000e+00,2.500000000000000000e+05,2.755715332987625744e-17,5.511430665975252220e-19,7.733849957297047239e-05,2.881002296206275695e-02,2.131228891034916937e-21,1.587844440405638383e-20,-2.934273981030862615e+02,-2.759838409447610843e+02,4.700341888918557487e+01,3.404308169922718434e+02,3.229872598339466663e+02
3.000000000000000000e+00,3.750000000000000000e+05,1.499659593554181769e-01,2.999319187108364249e-03,1.416531010593522628e-05,1.134666792756827518e-02,2.124314319603576294e-06,3.403227882490262847e-05,6.544375532274190554e+00,3.063782061456081252e+01,4.080680731572336839e+01,3.426243178344918050e+01,1.016898670116255587e+01
4.000000000000000000e+00,5.000000000000000000e+05,2.753590776335007996e-17,5.507181552670016301e-19,4.058507422906460999e-06,5.370328459588068724e-03,1.117546860540239547e-22,2.957537382442219752e-21,-3.190346851429387129e+02,-2.905813951461002489e+02,3.641024143623283749e+01,3.554449265791715789e+02,3.269916365823330580e+02
5.000000000000000000e+00,6.250000000000000000e+05,8.988707620097377560e-02,1.797741524019475651e-03,1.472336929742193659e-06,2.624207585643370099e-03,1.323440617972443440e-07,4.717646944357981091e-06,-1.756591080943564265e+01,1.347450872736969529e+01,3.300000000000000000e+01,5.056591080943564265e+01,1.952549127263030471e+01
6.000000000000000000e+00,7.500000000000000000e+05,2.750052032522223596e-17,5.500104065044447500e-19,6.161600398372681552e-07,1.134713787641072891e-03,1.694472169913453592e-23,6.241043916066646502e-22,-3.354193111927996824e+02,-3.040948552285672122e+02,3.096227607087563527e+01,3.663815872636753284e+02,3.350571312994428581e+02
7.000000000000000000e+00,8.750000000000000000e+05,6.410602432532670758e-02,1.282120486506534152e-03,2.830292964456414518e-07,2.344476906726841519e-04,1.814388296272439541e-08,3.005901872255952185e-07,-3.482539528397006023e+01,-1.044050402144501888e+01,2.923940503742027630e+01,6.406480032139033653e+01,3.967990905886529163e+01
8.000000000000000000e+00,1.000000000000000000e+06,2.745102374936030017e-17,5.490204749872060727e-19,1.384278900746199483e-07,3.534917899179645289e-04,3.799987298012229457e-24,1.940742304048385524e-22,-3.484043571014133249e+02,-3.142406425468404905e+02,2.774698626464840956e+01,3.761513433660617238e+02,3.419876288114888894e+02
9.000000000000000000e+00,1.125000000000000000e+06,4.975765411790210313e-02,9.951530823580419672e-04,7.060333807312572633e-08,7.608866512369559694e-04,3.513056475411898700e-09,7.571986963035452270e-07,-4.908629736987195713e+01,-2.415802848963121807e+00,2.643057961245445142e+01,7.551687698232640855e+01,2.884638246141757278e+01
1.000000000000000000e+01,1.250000000000000000e+06,2.738746381269783933e-17,5.477492762539569253e-19,3.695841177201650772e-08,1.057003959854671158e-03,1.012197164980887918e-24,5.789731540079626494e-22,-3.598946976684418928e+02,-3.047468314659177508e+02,2.525301373535158689e+01,3.851477114037934939e+02,3.299998452012693519e+02
