#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A7F296
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 2.5e+07 Hz
#Steps: 1001
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100 Ω
#Average: 3
#ProbeResistance: 1.04e+06 Ω
#ProbeCapacitance: 0 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 0.999935 V
#Offset: -0.000612848 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.45848 V
#Offset: -0.000277946 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.54417 V
#Offset: 0.000228067 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
1000,-46.23658128316153,193848.3832575071,134081.4791109006,-139997.6880201329
1010.178078950409,-47.76116114275833,202181.2960816335,135910.8367573841,-149684.7384911263
1020.459751191941,-48.03090530229839,200392.9329955975,134008.6973976949,-148993.2770844076
1030.846071105288,-47.18734690549554,185995.7908685771,126403.357583898,-136442.7550745904
1041.338103802716,-45.23944016499416,189622.7550348153,133522.0290775035,-134642.7011687595
1051.936925237291,-48.57833033934726,201683.4866845397,133432.8902847558,-151234.5614979897
1062.643622313207,-47.71028487975871,191819.1398768459,129071.2120421727,-141898.5716808224
1073.45929299726,-49.21689877653557,194854.9047875841,127278.6992556547,-147541.7453996226
1084.385046431436,-52.49678960233893,194795.4710852165,118592.6284346135,-154534.9929183714
1095.42200304666,-51.28976877399107,192985.060406245,120689.3843431446,-150589.8603720541
1106.571294677684,-50.30220687404412,196299.2654432243,125383.835919708,-151037.3970366584
1117.83406467917,-48.7594693085484,200664.0297945526,132282.0525639289,-150889.0699251044
1129.211468042934,-54.21942932198753,200406.484240179,117174.18527327,-162582.1922322814
1140.704671516382,-53.56464117464122,191950.9358937272,114002.6353005276,-154429.7928995978
1152.314853722176,-49.05439608173511,190652.9562790564,124942.9314562839,-144006.2971437503
1164.043205279092,-51.32340081083013,182102.3964913046,113800.13250802,-142164.7377130961
1175.890928924109,-47.75882773099187,186821.4721940773,125591.2487868252,-138307.9921802358
1187.859239635769,-52.31933399993255,183579.2669456468,112214.6651653716,-145290.1103796283
1199.949364758755,-52.42083166373117,179753.9794599341,109624.233800411,-142457.0829946873
1212.162544129765,-52.25592168928538,186184.1354114815,113969.9293685379,-147225.6345839656
1224.500030204646,-48.73178281941852,168280.3422174296,110995.1607575425,-126484.5756020176
1236.963088186847,-51.46581578036573,161912.8552638161,100868.7055264219,-126654.1627626406
1249.552996157157,-51.76255112221989,175644.3760646047,108710.1516925538,-137960.3195201657
1262.271045204765,-54.33418254730127,173907.4713901541,101397.9024840195,-141287.9116455422
1275.118539559674,-53.37192111930726,169622.7488823876,101200.0257740469,-136126.5283541374
1288.096796726446,-50.49334812488193,183365.1211600755,116650.9856122667,-141475.4933327179
1301.207147619296,-51.64780961977957,176387.3115749323,109447.2019465417,-138324.9567890956
1314.450936698602,-51.78844903451451,171139.6612141628,105861.3148851319,-134469.9433006848
1327.829522108759,-54.30288009615248,169689.2421271103,99013.73887271859,-137806.8155358005
1341.344275817469,-52.36350318379986,166180.3279282393,101477.9707774609,-131598.3390367293
1354.996583756418,-54.27687050635548,163548.0477318006,95490.63351151509,-132776.1380235653
1368.787845963426,-51.7353797973685,162639.4562464362,100721.6912990516,-127697.8215554008
1382.719476726005,-55.36807035385702,160852.8765515185,91413.07131861996,-132352.9307835492
1396.79290472639,-52.93027041308095,165835.7383218013,99963.54847961538,-132320.7507539938
1411.009573188066,-53.38458097594131,162820.5923837387,97112.86094995264,-130689.0873114766
1425.37094002376,-57.86231135766227,170769.3474772015,90841.72668342537,-144602.7341752673
1439.878477984941,-53.19190468702569,167988.3633507408,100647.9983203449,-134499.3332896798
1454.533674812867,-55.70905764807413,156540.2538589973,88194.06637499167,-129331.5805767597
1469.33803339114,-54.82206160678136,167292.8648437661,96380.36942894972,-136739.6322079805
1484.293071899837,-57.85533077701612,160221.3802022349,85247.20416038648,-135660.6238255835
1499.400323971179,-55.88062346691208,157763.6047330726,88492.60332482663,-130607.863986699
1514.661338846826,-54.90660823401713,155154.6985136351,89200.1252764715,-126950.0615262506
1530.077681536745,-55.42830580185482,145913.2063608803,82796.55531345558,-120147.3854011761
1545.650932979684,-58.02779228373457,155647.1973701354,82416.4115744022,-132036.302403455
1561.382690205325,-55.50091862006359,149922.0379550035,84914.79639396787,-123556.039180416
1577.27456649804,-58.71942801078749,147953.1533427901,76821.61960573973,-126445.9344748822
1593.328191562329,-59.11990210566547,141662.2298879804,72707.17137006765,-121580.6506324037
1609.545211689963,-58.90770251585234,152908.9594579983,78964.97152856328,-130941.5257052588
1625.927289928796,-58.35309100146578,147982.7494941818,77644.04081826702,-125977.3673056754
1642.47610625332,-56.22334357717695,141149.4574732414,78473.03002253087,-117324.988404318
1659.193357736926,-60.9606366115144,148209.5290289393,71942.4449404906,-129577.5795072762
1676.080758725967,-61.42796818897458,150312.0597162191,71888.7304311161,-132006.5367060834
1693.140041015545,-59.09300518687039,150046.9283366342,77071.00499604231,-128740.5953542202
1710.3729540271,-57.02076243360185,139953.1302998493,76181.39947491577,-117402.185051088
1727.781264987832,-63.57322437978588,140366.2276223343,62470.51135645092,-125698.5006584745
1745.366759111919,-58.2673733940265,143263.1671716167,75350.12997067226,-121847.0064525403
1763.13123978358,-60.66956809546436,148121.6288530196,72556.7238475195,-129133.8017661777
1781.076528742029,-61.43315696510324,141397.8963415887,67614.16792090565,-124184.0947391824
1799.204466268286,-63.55980670717735,143709.7562751831,63988.69703086651,-128677.6620123497
1817.516911373893,-62.08161452155686,144105.7966415596,67472.26200559078,-127334.1057436987
1836.015741991564,-65.42291680579973,134790.1894812429,56061.54315762161,-122578.5403697381
1854.702855167748,-63.33790140307832,136777.6663531976,61375.95927868884,-122233.8808827052
1873.580167257198,-64.11190236127129,137764.3830474009,60149.98356154977,-123939.5203878742
1892.649614119459,-63.07874950634827,134834.7480505209,61048.51375012271,-120222.6611365284
1911.913151317432,-63.33534700567752,129517.5268501498,58123.29209085972,-115743.1323141891
1931.372754317866,-63.22858481881192,132747.6844759932,59793.82814404061,-118518.5464373352
1951.030418693986,-63.65873832180259,131054.3092391783,58150.98332249316,-117446.5627797821
1970.888160330103,-65.22186581781526,128011.4045531669,53650.29860169171,-116226.3531030028
1990.948015628369,-65.04988902114597,130363.1439070612,54990.94868093864,-118197.0594071761
2011.212041717595,-63.90761351301197,127039.5831967718,55874.52855652161,-114092.474587047
2031.682316664214,-63.6685767272383,124228.0568118137,55102.94382336897,-111338.5633158514
2052.360939685372,-62.57225453172411,126183.4052837204,58123.81846889452,-111999.4352467486
2073.250031364225,-63.56834196656815,125117.437380434,55693.52804189365,-112038.4044463934
2094.351733867389,-64.79782623692125,124027.7266123219,52812.69522241396,-112221.6386975582
2115.668211164621,-63.53178680558638,124621.0274760037,55543.74757669466,-111558.4716384699
2137.201649250725,-67.06776048331663,119868.155499785,46705.69498106009,-110394.5322887724
2158.954256369743,-65.03903235740381,121528.0665086239,51284.93493906301,-110176.7960943709
2180.928263241401,-65.03605891027475,118485.7855449537,50006.66467744412,-107416.0828928444
2203.12592328985,-63.92138871702198,123604.9789969309,54337.23111586953,-111020.971656225
2225.549512874787,-64.56053201898425,117481.1747200745,50464.89511948764,-106090.153992667
2248.201331524871,-65.61564325924644,117605.7416180343,48554.20945523315,-107114.8878807479
2271.08370217355,-66.71394872913253,114238.0979521533,45160.82124072478,-104932.5652435366
2294.19897139726,-64.86557853307102,111172.6019564194,47219.82703578455,-100646.08964322
2317.549509656089,-66.05695970943886,117266.9365556779,47590.23625572419,-107176.0412698553
2341.137711536855,-67.38094554650287,111883.478933338,43030.64634131846,-103277.6661901065
2364.965995998657,-67.97341726944775,109370.8935505123,41018.10181004304,-101387.9069708929
2389.036806620963,-66.14188136602981,111807.9236173018,45223.30736085731,-102253.9204869809
2413.35261185419,-65.43660242064276,110381.3057997833,45885.49309696996,-100392.0026362319
2437.915905272817,-65.8097301580286,107423.2054589062,44018.60587859225,-97990.34344042043
2462.729205831142,-64.96801645657646,108040.1387215467,45714.38789902034,-97892.11568859336
2487.79505812157,-69.83535018883356,110764.5974533201,38182.67284772678,-103975.3795049555
2513.116032635573,-69.36817363849292,106308.2639735649,37458.94483928961,-99490.07207053488
2538.694726027277,-68.99185932104297,107494.6378574186,38536.89115564943,-100349.4154848706
2564.533761379772,-69.84153032885868,107377.6358506881,37004.25002091908,-100800.0107205961
2590.635788474085,-69.65639949408501,110028.9456170134,38251.48137171359,-103165.8521336452
2617.003484060932,-67.55221474835886,103670.327600366,39585.61518612461,-95815.0087152491
2643.639552135202,-69.6274675352017,106650.1061034676,37127.32025822411,-99979.03391373696
2670.546724213258,-70.21004616462125,103454.9065238487,35027.03209460913,-97344.87509109815
2697.72775961306,-70.82167102162968,102063.4265031944,33528.79817740656,-96398.97677025262
2725.185445737111,-71.38210134296881,100811.6965765984,32184.67524637212,-95536.09184982243
2752.922598358332,-70.94648245869625,99144.01323398185,32365.68019311475,-93712.31565689213
2780.942061908791,-72.89138064675895,98039.16649830689,28841.56471319514,-93700.81276369655
2809.246709771412,-69.62774888880983,101001.2501733127,35160.3604711295,-94683.69230291099
2837.839444574645,-72.16152108104528,94894.43890330875,29069.45669077366,-90332.28228311865
2866.723198490111,-72.86873106544982,95134.17992608147,28022.90493670862,-90913.30479702205
2895.900933533315,-72.09585153361823,95824.34849068616,29458.84983888811,-91183.78106787581
2925.375641867383,-71.4744421865238,95275.96258661796,30271.80689898236,-90338.95479734836
2955.150346109913,-74.07927818616139,92944.81376496634,25495.4156188606,-89379.6519808946
2985.228099642951,-72.20668330697669,91471.9678700653,27952.39188103372,-87096.41034021653
3015.611986926097,-72.29583036662896,92255.22595225432,28055.03460482536,-87885.95876943909
3046.305123812834,-70.98437286583668,91540.34652847843,29826.22748871306,-86544.96632586699
3077.310657870039,-72.19615702488841,91551.38919189056,27992.67640908019,-87166.89125133201
3108.631768700776,-71.67103758158198,91957.53122164524,28918.10006977903,-87292.21635824186
3140.271668270365,-71.05337391461838,89597.60486640722,29091.19679282302,-84743.33641625212
3172.233601235753,-72.16948283662309,88061.88339060296,26964.75911595699,-83831.95734395427
3204.520845278274,-72.20774323743996,89610.76422504814,27382.05893635168,-85324.74385196438
3237.136711439752,-72.07417085770081,86015.32558784071,26474.2759042105,-81839.776095307
3270.084544462052,-71.13446213499405,86337.14072706614,27916.96857648689,-81699.11097695412
3303.367723130103,-73.26370298260952,83640.512558141,24085.72797638531,-80097.52211420845
3336.989660618354,-73.25821185224724,84172.89561206155,24246.76201850122,-80605.03016150529
3370.953804840829,-72.91220165823955,82722.59214348144,24306.93959052023,-79070.8539139396
3405.263638804684,-72.74115206847645,83144.12563832202,24667.95172412419,-79400.48983411472
3439.922680967396,-73.43158450157428,80943.39512544968,23081.82222133032,-77582.6185261723
3474.934485597588,-73.24876649187202,80356.38232144566,23160.06607468675,-76946.47177880537
3510.3026431395,-72.58597667706015,78701.09734000037,23553.21869849456,-75093.99850494778
3546.030780581206,-75.75122065663136,80737.49157163451,19872.13227168643,-78253.69578656559
3582.122561826546,-73.5521213544075,78948.73575908579,22353.78183434439,-75717.97221043684
3618.581688070858,-73.98055132630392,79046.56745207294,21813.97799830161,-75977.03725366454
3655.411898180551,-76.45570552642403,77398.70771103757,18126.54654617653,-75246.18439261835
3692.616969076497,-73.45346093802303,76298.34880493698,21729.31665809568,-73138.73684944274
3730.200716121382,-76.04258307620474,75458.13458469477,18200.5541750309,-73230.25264686497
3768.166993510942,-74.97694111077797,74297.07973206257,19258.37993870001,-71757.72333936703
3806.519694669221,-73.72985072276549,75157.63079695957,21056.65928486975,-72147.67194284922
3845.262752647855,-73.0295644271871,73590.33912475256,21479.41688558543,-70385.88397364428
3884.400140529372,-74.70121843241941,72374.76747726704,19096.26608300244,-69810.02498979385
3923.935871834664,-73.36788306485073,72362.90573676515,20712.1093558908,-69335.40691953556
3963.874000934544,-74.3024665957139,72228.05488467222,19541.95041977886,-69534.19364754386
4004.218623465529,-75.18948357217448,71409.62052947542,18253.95645883432,-69037.14201618326
4044.973876749863,-74.74409235767168,70188.67937160541,18468.79564498708,-67715.24421689501
4086.143940219765,-76.05001426849435,70416.20131878555,16975.57299785086,-68339.383444412
4127.733035846061,-75.12927425573679,69307.61551572381,17787.03762398313,-66986.31846159638
4169.745428571118,-76.70797583050236,68453.00935348455,15738.32326946069,-66619.21397175289
4212.185426746222,-74.94663513790978,68777.9485273859,17862.91173398865,-66417.78818975738
4255.057382573412,-75.46502188704677,66969.54021246008,16807.41215964431,-64826.15377117594
4298.365692551765,-77.58106175223431,65719.53035213382,14133.51993197494,-64181.77532631444
4342.114797928291,-76.33408804819304,65928.8766212896,15576.36181784375,-64062.4205370422
4386.309185153349,-75.39232106198293,67963.98446165145,17140.45238507331,-65767.07440610867
4430.953386340744,-75.58186491668498,64629.7295260878,16092.57306493658,-62594.17729122209
4476.051979732507,-76.21142126369169,64754.86059596447,15433.66494223719,-62888.74269099002
4521.609590168359,-77.90417616668599,62881.79899412682,13176.71080978958,-61485.72953924303
4567.630889560023,-77.08357013829585,62037.76975911496,13867.27938852559,-60468.03650727822
4614.120597370297,-76.24782141821549,63873.12013846274,15184.09861880266,-62042.07141413776
4661.08348109704,-75.66208900182617,61414.76957873778,15208.7614568455,-59501.82768082192
4708.524356762098,-76.41826503600689,60939.31821496274,14310.51748754856,-59235.20569511899
4756.448089405147,-76.90222515968983,60685.43390832294,13752.13745926427,-59106.68831818386
